respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.1578242925131483,0.23224005712909496
26708,0.039240879573533935,0.040199267863672
26709,0.18030601159075046,0.7152977298964566
26710,0.6881555510246771,0.899396135726821
26711,0.5102075925033219,0.5896235088674878
26712,0.8071351550665559,0.9522960425776448
26713,0.24428203388483163,0.5489317364644735
26714,0.10747660452801557,0.10969893999238196
26715,0.017872869267137655,0.07112307562573193
26716,0.13204238837459087,0.8763500125636121
26717,0.02377939173362854,0.4319111307514869
26718,0.40134262957229844,0.4904800780939677
26719,0.10598739205339942,0.9106991716965331
26720,0.02859374594199826,0.177627270079806
26721,0.4166705816638833,0.5034321840377377
26722,0.09061910647117374,0.103678410069611
26723,0.7774808762164045,0.9214035118260873
26724,0.023339039203745977,0.7759382359588273
26725,0.017603124663138715,0.06648068388888455
26726,0.022126697019429514,0.059231551496507065
26727,0.4772811691761611,0.8655880283188301
26728,0.2131661568331109,0.5054723283333181
26729,0.028389847261691414,0.2426876506393315
26730,0.03394405168014972,0.12384133512072189
26731,0.02420113954847514,0.22825619723032825
26732,0.08003829326746055,0.17720225982685042
26733,0.9405963727434207,0.954341899817112
26734,0.513531429463771,0.3701492589338295
26735,0.0971077608579443,0.3881344343056448
26736,0.05746759330178715,0.1731110102455253
26737,0.04663459659050051,0.13961023801022265
26738,0.7745195921592207,0.8938038211862576
26739,0.139512082005311,0.23321733733019542
26740,0.227986276055906,0.12248249909655726
26741,0.0548048569733308,0.8733435101212719
26742,0.11759320059355292,0.41934478064577513
26743,0.019579616927887934,0.3854936657837595
26744,0.03404230690050674,0.6505217150474153
26745,0.05228504271084508,0.8760484875232044
26746,0.2587314384301123,0.3184413959733246
26747,0.0385665106877316,0.17572004452503107
26748,0.057100168915282655,0.09356913430037775
26749,0.059578032121865084,0.668660036877403
26750,0.339251009028658,0.8578511119653546
26751,0.48526917959961335,0.764294618973772
26752,0.09695745732157644,0.09114541625307072
26753,0.2610001617170804,0.6254368549197357
26754,0.11268625956586897,0.3485722441078699
26755,0.1016324390100233,0.3860449421238166
26756,0.027895103886145127,0.05445823463581311
26757,0.2721949201124915,0.5852488438550164
26758,0.5268122143359144,0.7579130269569072
26759,0.021011817283108705,0.13518686143897268
26760,0.02510730278421183,0.09162838732805197
26761,0.2008954226617055,0.6788918043857717
26762,0.1746567935508867,0.8910305810600704
26763,0.879182590993256,0.9625155096682603
26764,0.930540882924509,0.967685654847895
26765,0.040051003849151647,0.6629964903813952
26766,0.15522670627488822,0.1632363188228834
26767,0.9045084343313933,0.6571912661207351
26768,0.021673609417302803,0.5306680548713663
26769,0.06458117331709357,0.11758072787245405
26770,0.05513528347199971,0.5862143730653125
26771,0.024262528818523543,0.16136618115490842
26772,0.0708787655274179,0.51921884653433
26773,0.02030376786863088,0.24820430171760707
26774,0.020902509346410022,0.26398446530355385
26775,0.03193660906915019,0.5140592069457062
26776,0.44310702910231575,0.48980421126374163
26777,0.09389923460624576,0.9141388040394813
26778,0.10602541721550789,0.055264163971519044
26779,0.13008107896748872,0.6541235961170198
26780,0.06757481416850672,0.898618675875073
26781,0.04267511088087942,0.41628101246157717
26782,0.06566807447021404,0.30581936945080945
26783,0.027299119053932622,0.2800309162453515
26784,0.05665658888797993,0.8512914345380105
26785,0.48429399615833135,0.6440961790929489
26786,0.05044854867011777,0.18151346989604228
26787,0.048015645622658885,0.5901935357667921
26788,0.04341184713731148,0.9028537365582341
26789,0.014664147111888248,0.19412601567124305
26790,0.02303556784656658,0.2003845037463154
26791,0.08452310357366323,0.10022846360388726
26792,0.07231225606822192,0.6669926147973012
26793,0.10604617698053866,0.9530198276551719
26794,0.7056912890575149,0.8425694053522165
26795,0.06425298066994256,0.9415774338690104
26796,0.030380866248608123,0.05659157747428528
26797,0.18265223352236823,0.7087404096601707
26798,0.3739633722318638,0.20475255152374808
26799,0.3397449321156059,0.29928544721599215
26800,0.03686475394040909,0.93987057634574
26801,0.19730333359387292,0.29601188963807645
26802,0.10957812048868038,0.1514434126210286
26803,0.03984474682549679,0.1311073765619177
26804,0.026864948644060024,0.08103719047971111
26805,0.10659618696787354,0.1461267850474476
26806,0.029287427638254773,0.9147905633496526
26807,0.3830276678804151,0.8507739423754985
26808,0.036185900521274926,0.3528124549576663
26809,0.4816943682464498,0.18127967483254215
26810,0.020491587120164943,0.10738351374247648
26811,0.02419199258953793,0.04461762985944969
26812,0.2291349219187161,0.8823384831392675
26813,0.3838246076802031,0.34357770413168154
26814,0.017539261088327436,0.6997828040580307
26815,0.017723349835917623,0.06491149665909027
26816,0.061638344006757266,0.08600768327553529
26817,0.024946828203183908,0.46662666834979283
26818,0.153126236166769,0.2653654757156381
26819,0.11743455375048517,0.1492277859397266
26820,0.049494854995928116,0.20205975861899736
26821,0.03959079968729068,0.60619959273196
26822,0.061368180227955337,0.7093384395793276
26823,0.2621915271980455,0.32172402242810566
26824,0.023541265910274212,0.7306488038955168
26825,0.4948808886161794,0.7780713165974157
26826,0.03210162498902155,0.633688543728805
26827,0.04339657183827223,0.16802001587479212
26828,0.057790838670806165,0.4111362804021869
26829,0.834417403377278,0.9567512988525343
26830,0.020140667381488796,0.7853388580115572
26831,0.08172802065173171,0.8208279396127264
